Titulo; Tipo; Editora; Ano; Estante; Peso; ISBN; Idioma; Cadastrado; Descricao; Data
Chato, o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 900g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 27 de janeiro de 2021;Livro em ótimo estado de conservação para leitura, texto e páginas íntegros, livre de grifos, manchas, rasuras ou anotações. Corte com leves pontos de oxidação, nada que interfira na leitura. ººº;
A Ilha- um Reporter Brasileiro...;Tipo: seminovo/usado;Editora: Alfa Omega;Ano: 1986;Estante: História do Brasil;Peso: 500g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 29 de fevereiro de 2020;bom estado. - 201632293;
Chato, o Rei do Brasil (portuguese Edition);Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 1000g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 26 de janeiro de 2021;Exemplar em Ótimo estado livre de danos rasuras ou anotações dorso firme cortes e paginas claro. Sinopse: Chatô, o rei do Brasil - a história da vida vertiginosa de um dos brasileiros mais poderosos e controvertidos deste século. Dono de um império de quase cem jornais, revistas, estações de rádio e televisão - os Diários Associados - e fundador do MASP, Assis Chateaubriand, ou apenas Chatô, sempre atuou na política, nos negócios e nas artes como se fosse um cidadão acima do bem e do mal. Mais temido do que amado, sua complexa e muitas vezes divertida trajetória está associada de modo indissolúvel à vida cultural e política do país entre as décadas de 1910 e 1960, magistralmente recriada neste Chatô, o rei do Brasil. Biografia, Autobiografia, Memórias / História do Brasil / Não-ficção;
Chatô, o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 2011;Estante: Biografias;Peso: 900g;ISBN: 9788535919776;Idioma: Português;Cadastrado em: 11 de janeiro de 2021;Capa com leves sinais de manuseio e armazenamento. Páginas com bordas um pouco amareladas devido ao tempo. Sem anotações, grifos ou rasuras. (J);
Chatô - o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1997;Estante: Biografias;Peso: 650g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 12 de junho de 2020;COD(DP).BOX: 524; Texto limpo; Miolo do livro em bom estado; Borda levemente escurecida; Capa com marcas de manuseio e de dobra; assinatura de antigo dono. - 201611736;
Chatô - o Rei o Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 1200g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 24 de janeiro de 2018;Formato 16x23cm com 732 pág. Brochura, livro usado em bom estado de conservação. Extremidades da capa e lombada com sinais de desgaste. Páginas amareladas devido ação do tempo. Sem grifos ou anotações no texto. Risco de caneta na primeira página. - "Chatô, o Rei do Brasil é um filme brasileiro, dirigido e produzido por Guilherme Fontes, com roteiro baseado na obra homônima de Fernando Morais. Chatô traz uma versão romantizada da vida do Paraibano Assis Chateaubriand, magnata da comunicação e fundador dos Diários Associados. No longa, ele é interpretado ..." - Fuzz. 01/18.;
Chatô o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras 1994;Ano: n/d;Estante: Coleções;Peso: 1100g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 23 de janeiro de 2021;marcas do tempo marcas de desgastes na capa e na lombada;
Chatô: o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 1350g;ISBN: 8571643962;Idioma: Português;Cadastrado em: 16 de dezembro de 2020;Livro com a capa com leve desgaste causado pelo manuseio. Paginas limpas salvo a primeira e a ultimas que tem pontos amarelados. Texto preservado. Formato 15 x 23 cm com 732 pags. Na 1ª pagina há uma dedicatoria. Ilustrado com fotos em p&b.;
Chatô o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 1300g;ISBN: 8571643962;Idioma: Português;Cadastrado em: 20 de agosto de 2019;Boa conservação, bordas bem amareladas, capa e lombada com leves escoriações, paginas amareladas, contem carimbo de biblioteca desativada, sem grifos. 732 p.;
Chatô: o Rei do Brasil;Tipo: seminovo/usado;Editora: Círculo do Livro;Ano: n/d;Estante: Comunicação;Peso: 1212g;ISBN: 0000000000;Idioma: Português;Cadastrado em: 19 de dezembro de 2020;Livro perfeito, em bom estado de leitura - Paginas levemente amareladas, nada que atrapalhe a boa leitura - Capa dura - c80;
Chato, o Rei do Brasil (portuguese Edition);Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 1406g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 10 de setembro de 2020;capa, contracapa, lombada, laterais de páginas, em regular estado de conservação, sem grifo, anotações, carimbo e rasuras. caso tenha dúvidas estamos à disposição. Ótima leitura!!! t obs: laterais de paginas com marcas de uso e manuseio e amarelada devido ao tempo mas nada que atrapalhe a leitura. capa, lombada e contra capa com desgastes e marcas de uso. lombada dobrada devido ao uso.;
Chatô o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letrinas;Ano: 1994;Estante: Biografias;Peso: 1300g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 23 de setembro de 2020;Livro em bom estado de conservação. Sem riscos. Sem sublinhados. Sem orelhas. 732 Páginas. Com sujidade e oxidação no corte externo do livro. Marca de queda. Marca de dobradura na capa e contra capa. Enviamos os livros em embalagem de papelão. Imagem de capa apenas ilustrativa.;
Chato, o Rei do Brasil (portuguese Edition);Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Literatura Estrangeira;Peso: 1423g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 11 de setembro de 2020;livro em bom estado de conservação , dedicatória na contra capa manchas de manuseio nas bordas laterais sem grifos ou rasuras . SA771;
Chato, o Rei do Brasil (portuguese Edition);Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 900g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 18 de maio de 2020;Livro usado, bastante manuseado com capa e contracapas desgastadas pelo tempo com oxidação pelo tempo deixando a borda com uma coloração amarelo escuro.. Muitos pontos amarelados nas paginas internas, nenhuma folha solta.Tem uma didicatoria escrita a caneta na capa interna.;
Chatô: o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Literatura Brasileira;Peso: 1400g;ISBN: 8571643962;Idioma: Português;Cadastrado em: 20 de junho de 2020;Dono de um império de quase cem jornais, revistas, estações de rádio e televisão — os Diários Associados — e fundador do MASP, Assis Chateaubriand, ou apenas Chatô, sempre atuou na política, nos negócios e nas artes como se fosse um cidadão acima do bem e do mal. Mais temido do que amado, sua complexa e muitas vezes divertida trajetória está associada de modo indissolúvel à vida cultural e política do país entre as décadas de 1910 e 1960. Brochura. 732 páginas. Dimensões: 16x23cm. Livro em bom estado. Corte amarelado.Capa com leve marcas de manuseio, leve desgaste nas bordas e leve descoloração. Lombada com marca de abertura do livro. Sem outros danos. 3F rpt;
Chatô - o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1997;Estante: Literatura Estrangeira;Peso: 1450g;ISBN: 8571643962;Idioma: Português;Cadastrado em: 12 de dezembro de 2019;Capa desgastada , contracapa, lombada, laterais de páginas em regular estado de conservação com marcas de uso e manuseio, folhas com pontos e manchas amarelados pelo tempo, sem grifos e sem rasura. liv03;
Chatô: o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 1422g;ISBN: 8571643962;Idioma: Português;Cadastrado em: 20 de fevereiro de 2020;Livro em regular estado de conservação, páginas amareladas, oxidação nas laterais e interior, capa e lombada desgastada, demais sem rasuras e desgastes – un2;
Chatô o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: n/d;Estante: Biografias;Peso: 1400g;ISBN: 8571643962;Idioma: Português;Cadastrado em: 09 de abril de 2020;Livro antigo, capa e contra capa amarelada e com marcas de uso, páginas internas sem rabiscos, miolo e cortes do livro em bom estado porém com pontos de oxidação e amarelados do tempo. Pequeno rasgo na parte superior do livro. Para maiores duvidas solicite fotos – un3;
Chato, o Rei do Brasil;Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 1400g;ISBN: 0000000000;Idioma: Português;Cadastrado em: 14 de setembro de 2020;Livro em ótimo estado de conservação, com diversas marcas de manuseio, capa e lombada com desgaste. Corte com sujidade e folhas sem desgaste. Texto livre de grifos e rasuras. LE2-553;
Chato, o Rei do Brasil (portuguese Edition);Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 1450g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 16 de novembro de 2020;livro em perfeito estado de conservação, com grifo na folha de rosto-le2 1980;
Chato, o Rei do Brasil (portuguese Edition);Tipo: seminovo/usado;Editora: Companhia das Letras;Ano: 1994;Estante: Biografias;Peso: 1435g;ISBN: 9788571643963;Idioma: Português;Cadastrado em: 27 de julho de 2020;Livro em bom estado de conservação com desgastes na capa e corte. marcas de oxidação no corte e em algumas partes.df2972;
